2023-05-29 20:19:26,864 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Configure stats pid to 10968
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Loading settings from /home/sooh/.config/wandb/settings
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Loading settings from /home/sooh/historical-adapters/alpaca_finetuning_v1/wandb/settings
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'alpaca_finetuning_v1/finetuning.py', 'program': 'finetuning.py'}
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:_log_setup():507] Logging user logs to /home/sooh/historical-adapters/alpaca_finetuning_v1/wandb/run-20230529_201926-urub5v4w/logs/debug.log
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:_log_setup():508] Logging internal logs to /home/sooh/historical-adapters/alpaca_finetuning_v1/wandb/run-20230529_201926-urub5v4w/logs/debug-internal.log
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:init():547] calling init triggers
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': None, 'architecture': 'adapter', 'dataset': 'ArchivalQA', 'epochs': 30}
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:init():596] starting backend
2023-05-29 20:19:26,865 INFO    MainThread:10968 [wandb_init.py:init():600] setting up manager
2023-05-29 20:19:26,867 INFO    MainThread:10968 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-29 20:19:26,869 INFO    MainThread:10968 [wandb_init.py:init():606] backend started and connected
2023-05-29 20:19:26,873 INFO    MainThread:10968 [wandb_init.py:init():700] updated telemetry
2023-05-29 20:19:26,891 INFO    MainThread:10968 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-29 20:19:27,234 INFO    MainThread:10968 [wandb_run.py:_on_init():2177] communicating current version
2023-05-29 20:19:27,300 INFO    MainThread:10968 [wandb_run.py:_on_init():2186] got version response 
2023-05-29 20:19:27,300 INFO    MainThread:10968 [wandb_init.py:init():787] starting run threads in backend
2023-05-29 20:19:27,426 INFO    MainThread:10968 [wandb_run.py:_console_start():2158] atexit reg
2023-05-29 20:19:27,427 INFO    MainThread:10968 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-29 20:19:27,427 INFO    MainThread:10968 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-29 20:19:27,427 INFO    MainThread:10968 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-29 20:19:27,427 INFO    MainThread:10968 [wandb_init.py:init():829] run started, returning control to user process
2023-05-29 20:21:58,008 INFO    MainThread:10968 [wandb_watch.py:watch():51] Watching
2023-05-29 20:22:07,694 WARNING MsgRouterThr:10968 [router.py:message_loop():77] message_loop has been closed
